"package"	"first_published"	"naming_convention"	"author_count"	"is_orphaned"	"public_repository"	"has_tests"	"is_versioned"	"specifies_r_version"	"is_roxygenised"	"copyright_license"
"akmeans"	2013	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"alabama"	2010	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ald"	2015	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"ALDqr"	2013	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL"
"aLFQ"	2013	"Mixed Case"	3	FALSE	"Other"	"testthat"	TRUE	TRUE	FALSE	"GPL"
"AlgDesign"	2004	"Mixed Case"	1	FALSE	"GitHub"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"algstat"	2014	"Lower Case"	2	FALSE	"None"	"None/Other"	TRUE	FALSE	TRUE	"GPL-2"
"ALKr"	2013	"Mixed Case"	3	FALSE	"GitHub"	"None/Other"	TRUE	TRUE	FALSE	"BSD_3_clause"
"allan"	2010	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"allanvar"	2012	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"alleHap"	2014	"Mixed Case"	2	FALSE	"None"	"None/Other"	TRUE	FALSE	TRUE	"GPL-2"
"allelematch"	2011	"Lower Case"	1	FALSE	"Other"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AlleleRetain"	2012	"Mixed Case"	1	FALSE	"Other"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"allelic"	2006	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AllPossibleSpellings"	2010	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"alm"	2013	"Lower Case"	4	FALSE	"GitHub"	"testthat"	TRUE	FALSE	TRUE	"MIT"
"alphahull"	2009	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"Unknown"
"alphashape3d"	2011	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"alr3"	2004	"Lower Case"	1	FALSE	"Other"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"alr4"	2013	"Lower Case"	1	FALSE	"Other"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"ALS"	2008	"Mixed Case"	1	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"ALSCPC"	2013	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"ALTopt"	2015	"Mixed Case"	2	FALSE	"None"	"None/Other"	TRUE	TRUE	TRUE	"GPL-3"
"amap"	2002	"Lower Case"	1	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"AMAP.Seq"	2012	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"amei"	2008	"Lower Case"	5	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"Amelia"	2007	"Mixed Case"	3	FALSE	"Other"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"amen"	2012	"Lower Case"	4	FALSE	"None"	"None/Other"	FALSE	TRUE	TRUE	"GPL-3"
"AmericanCallOpt"	2012	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-3"
"AMGET"	2013	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"aml"	2013	"Lower Case"	1	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"AMOEBA"	2013	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AMORE"	2005	"Mixed Case"	7	FALSE	"Other"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AmpliconDuo"	2014	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL"
"anacor"	2007	"Lower Case"	2	FALSE	"RForge"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"analogue"	2006	"Lower Case"	2	FALSE	"GitHub"	"testthat"	FALSE	TRUE	FALSE	"GPL-2"
"analogueExtra"	2014	"Mixed Case"	1	FALSE	"GitHub"	"testthat"	FALSE	FALSE	FALSE	"GPL-2"
"analyz"	2015	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	TRUE	"GPL-2"
"AnalyzeFMRI"	2001	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"anametrix"	2012	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"LGPL-2"
"anapuce"	2008	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AncestryMapper"	2012	"Mixed Case"	3	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"anchors"	2009	"Lower Case"	5	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"AnDE"	2013	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-3"
"andrews"	2012	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"anesrake"	2010	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"anfis"	2015	"Lower Case"	3	FALSE	"Other"	"None/Other"	TRUE	TRUE	TRUE	"GPL-2"
"AnglerCreelSurveySimulation"	2015	"Mixed Case"	1	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-3"
"animalTrack"	2013	"Mixed Case"	2	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"animation"	2007	"Lower Case"	3	FALSE	"GitHub"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"anim.plots"	2014	"Non-Alphanumeric"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	TRUE	"GPL-2"
"AnnotLists"	2010	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"anominate"	2014	"Lower Case"	7	FALSE	"Other"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AnthropMMD"	2013	"Mixed Case"	1	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"Anthropometry"	2014	"Mixed Case"	6	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"antitrust"	2012	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"Unlimited"
"AntWeb"	2014	"Mixed Case"	1	FALSE	"GitHub"	"None/Other"	FALSE	TRUE	TRUE	"CC0"
"aod"	2005	"Lower Case"	2	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"aods3"	2013	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"AOfamilies"	2012	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"aoos"	2014	"Lower Case"	1	FALSE	"GitHub"	"testthat"	TRUE	TRUE	TRUE	"GPL-3"
"aoristic"	2013	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	TRUE	"GPL-2"
"apc"	2014	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-3"
"apcluster"	2010	"Lower Case"	4	FALSE	"Other"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"ape"	2002	"Lower Case"	23	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"aplore3"	2014	"Lower Case"	1	FALSE	"GitHub"	"None/Other"	FALSE	TRUE	FALSE	"GPL-3"
"aplpack"	2006	"Lower Case"	2	FALSE	"Other"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"apmsWAPP"	2014	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"LGPL-3"
"appell"	2012	"Lower Case"	7	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL"
"apple"	2011	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AppliedPredictiveModeling"	2013	"Mixed Case"	2	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"approximator"	2009	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"aprean3"	2014	"Lower Case"	1	FALSE	"GitHub"	"None/Other"	FALSE	TRUE	FALSE	"GPL-3"
"aprof"	2013	"Lower Case"	1	FALSE	"GitHub"	"None/Other"	TRUE	FALSE	TRUE	"GPL-2"
"APSIMBatch"	2012	"Mixed Case"	1	FALSE	"None"	"None/Other"	TRUE	FALSE	FALSE	"GPL-3"
"apsimr"	2014	"Lower Case"	1	FALSE	"GitHub"	"None/Other"	FALSE	TRUE	FALSE	"GPL"
"apsrtable"	2008	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"apt"	2011	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"apTreeshape"	2005	"Mixed Case"	4	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"aqfig"	2011	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"Unlimited"
"aqp"	2010	"Lower Case"	2	FALSE	"RForge"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"aqr"	2012	"Lower Case"	2	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"AquaEnv"	2009	"Mixed Case"	3	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AR1seg"	2014	"Mixed Case"	4	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"archdata"	2014	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"archetypes"	2008	"Lower Case"	3	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"archiDART"	2014	"Mixed Case"	6	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"archivist"	2014	"Lower Case"	2	FALSE	"GitHub"	"None/Other"	FALSE	TRUE	TRUE	"GPL-2"
"ArDec"	2005	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"arf3DS4"	2011	"Mixed Case"	1	FALSE	"RForge"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"arfima"	2012	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ArfimaMLM"	2015	"Mixed Case"	2	FALSE	"GitHub"	"None/Other"	FALSE	TRUE	TRUE	"GPL-2"
"argosfilter"	2007	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"argparse"	2013	"Lower Case"	1	FALSE	"GitHub"	"testthat"	TRUE	FALSE	FALSE	"GPL-2"
"argparser"	2014	"Lower Case"	1	FALSE	"BitBucket"	"None/Other"	FALSE	FALSE	TRUE	"GPL"
"arm"	2007	"Lower Case"	8	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"arnie"	2014	"Lower Case"	1	FALSE	"GitHub"	"None/Other"	TRUE	TRUE	TRUE	"CC BY-SA 4.0"
"aroma.affymetrix"	2009	"Non-Alphanumeric"	7	FALSE	"GitHub"	"None/Other"	TRUE	TRUE	FALSE	"LGPL-2.1"
"aroma.apd"	2009	"Non-Alphanumeric"	1	FALSE	"GitHub"	"None/Other"	TRUE	TRUE	FALSE	"LGPL-2.1"
"aroma.cn"	2010	"Non-Alphanumeric"	2	FALSE	"GitHub"	"None/Other"	TRUE	TRUE	FALSE	"LGPL-2.1"
"aroma.core"	2009	"Non-Alphanumeric"	3	FALSE	"GitHub"	"None/Other"	TRUE	TRUE	FALSE	"LGPL-2.1"
"ARPobservation"	2014	"Mixed Case"	2	FALSE	"None"	"testthat"	FALSE	FALSE	TRUE	"GPL-3"
"aRpsDCA"	2014	"Mixed Case"	1	FALSE	"GitHub"	"None/Other"	TRUE	FALSE	FALSE	"LGPL-2.1"
"ArrayBin"	2013	"Mixed Case"	1	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"arrayhelpers"	2011	"Lower Case"	1	FALSE	"RForge"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"ars"	2007	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ARTool"	2014	"Mixed Case"	2	FALSE	"GitHub"	"testthat"	TRUE	FALSE	FALSE	"GPL-2"
"ARTP"	2013	"Mixed Case"	3	FALSE	"None"	"None/Other"	TRUE	FALSE	FALSE	"GPL-2"
"arules"	2005	"Lower Case"	5	FALSE	"RForge"	"testthat"	FALSE	TRUE	FALSE	"GPL-3"
"arulesNBMiner"	2009	"Mixed Case"	1	FALSE	"RForge"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"arulesSequences"	2007	"Mixed Case"	3	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"arulesViz"	2010	"Mixed Case"	2	FALSE	"RForge"	"None/Other"	FALSE	TRUE	FALSE	"GPL-3"
"aRxiv"	2014	"Mixed Case"	2	FALSE	"GitHub"	"testthat"	TRUE	TRUE	TRUE	"MIT"
"asbio"	2010	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ascii"	2009	"Lower Case"	1	FALSE	"GitHub"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ascrda"	2011	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
